trial_id,scenario,traffic_multiplier,corridor,vehicle_id,vehicle_name,battery_capacity,efficiency,start_soc,time_mode,traffic_level,route_length,greedy_success,greedy_trip_time,greedy_charging_cost,greedy_stops,greedy_distance,greedy_status,cheapest_success,cheapest_trip_time,cheapest_charging_cost,cheapest_stops,cheapest_distance,cheapest_status,fastest_success,fastest_trip_time,fastest_charging_cost,fastest_stops,fastest_distance,fastest_status,smart_success,smart_trip_time,smart_charging_cost,smart_stops,smart_distance,smart_status,ml_smart_success,ml_smart_trip_time,ml_smart_charging_cost,ml_smart_stops,ml_smart_distance,ml_smart_status,ablation_dist_success,ablation_dist_trip_time,ablation_dist_charging_cost,ablation_dist_stops,ablation_dist_distance,ablation_dist_status,ablation_dist_traffic_success,ablation_dist_traffic_trip_time,ablation_dist_traffic_charging_cost,ablation_dist_traffic_stops,ablation_dist_traffic_distance,ablation_dist_traffic_status,ablation_dist_traffic_price_success,ablation_dist_traffic_price_trip_time,ablation_dist_traffic_price_charging_cost,ablation_dist_traffic_price_stops,ablation_dist_traffic_price_distance,ablation_dist_traffic_price_status
588,Normal,1.0,Delhi-Jaipur,bmw_ix1,BMW iX1,66.5,5.0,85.5,night,7,285.8,1,295.0,334.0,3.0,324.063639471668,ok,1,290.0,280.0,1.0,285.8577943692712,ok,1,262.0,419.0,2.0,303.60557798762943,ok,1,235.0,365.0,1.0,288.60570719522525,ok,1,235.0,365.0,1.0,288.60570719522525,ok,1,290.0,280.0,1.0,285.8577943692712,ok,1,290.0,280.0,1.0,285.8577943692712,ok,1,290.0,280.0,1.0,285.8577943692712,ok
589,Normal,1.0,Delhi-Jaipur,citroen_ec3,Citroën eC3,29.2,6.5,83.0,peak,7,285.8,1,671.0,779.0,7.0,336.4674410982821,ok,1,579.0,690.0,4.0,326.10094580639293,ok,1,527.0,736.0,5.0,313.2036724190183,ok,1,553.0,699.0,4.0,310.74934650436103,ok,1,553.0,699.0,4.0,310.74934650436103,ok,1,514.0,656.0,3.0,307.94363930913573,ok,1,553.0,699.0,4.0,310.74934650436103,ok,1,553.0,699.0,4.0,310.74934650436103,ok
590,Normal,1.0,Delhi-Jaipur,tata_punch,Tata Punch EV,35.0,6.0,86.1,normal,2,285.8,1,384.0,470.0,6.0,336.23170527569556,ok,1,353.0,385.0,3.0,325.8652099838064,ok,1,313.0,393.0,3.0,303.6633723569006,ok,1,284.0,347.0,2.0,288.66350156449647,ok,1,284.0,347.0,2.0,288.66350156449647,ok,1,284.0,347.0,2.0,288.66350156449647,ok,1,284.0,347.0,2.0,288.66350156449647,ok,1,284.0,347.0,2.0,288.66350156449647,ok
591,Normal,1.0,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,74.2,peak,9,285.8,1,676.0,627.0,6.0,336.23170527569556,ok,1,576.0,492.0,3.0,325.8652099838064,ok,1,560.0,578.0,4.0,325.51348147417866,ok,1,531.0,512.0,3.0,310.5136106817745,ok,1,531.0,512.0,3.0,310.5136106817745,ok,1,450.0,460.0,2.0,307.7079034865492,ok,1,450.0,460.0,2.0,307.7079034865492,ok,1,450.0,460.0,2.0,307.7079034865492,ok
592,Normal,1.0,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,70.7,normal,3,285.8,1,363.0,655.0,6.0,336.23170527569556,ok,1,355.0,509.0,3.0,325.8652099838064,ok,1,298.0,549.0,3.0,303.6633723569006,ok,1,308.0,533.0,3.0,310.5136106817745,ok,1,308.0,533.0,3.0,310.5136106817745,ok,1,312.0,481.0,2.0,307.7079034865492,ok,1,312.0,481.0,2.0,307.7079034865492,ok,1,312.0,481.0,2.0,307.7079034865492,ok
593,Normal,1.0,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,86.6,night,7,285.8,1,359.0,530.0,6.0,336.23170527569556,ok,1,339.0,434.0,3.0,325.8652099838064,ok,1,290.0,442.0,3.0,303.6633723569006,ok,1,264.0,391.0,2.0,288.66350156449647,ok,1,264.0,391.0,2.0,288.66350156449647,ok,1,264.0,391.0,2.0,288.66350156449647,ok,1,264.0,391.0,2.0,288.66350156449647,ok,1,264.0,391.0,2.0,288.66350156449647,ok
594,Normal,1.0,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,86.9,night,5,285.8,1,359.0,527.0,6.0,336.23170527569556,ok,1,339.0,432.0,3.0,325.8652099838064,ok,1,290.0,440.0,3.0,303.6633723569006,ok,1,264.0,389.0,2.0,288.66350156449647,ok,1,264.0,389.0,2.0,288.66350156449647,ok,1,264.0,389.0,2.0,288.66350156449647,ok,1,264.0,389.0,2.0,288.66350156449647,ok,1,264.0,389.0,2.0,288.66350156449647,ok
595,Normal,1.0,Delhi-Jaipur,mercedes_eqa,Mercedes EQA,66.5,4.8,77.6,night,3,285.8,1,317.0,471.0,4.0,333.36820371119916,ok,1,308.0,350.0,1.0,285.8577943692712,ok,1,266.0,528.0,2.0,303.60557798762943,ok,1,241.0,466.0,1.0,288.60570719522525,ok,1,241.0,466.0,1.0,288.60570719522525,ok,1,308.0,350.0,1.0,285.8577943692712,ok,1,308.0,350.0,1.0,285.8577943692712,ok,1,308.0,350.0,1.0,285.8577943692712,ok
596,Normal,1.0,Delhi-Jaipur,kia_ev6,Kia EV6,77.4,5.6,83.2,peak,2,285.8,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok,1,215.8,0.0,0.0,285.8,ok
597,Normal,1.0,Delhi-Jaipur,hyundai_ioniq,Hyundai Ioniq 5,72.6,5.8,77.8,peak,1,285.8,1,237.0,102.0,1.0,295.10456423953116,ok,1,313.0,293.0,1.0,285.8577943692712,ok,1,244.0,174.0,1.0,300.7998707924042,ok,1,236.0,390.0,1.0,288.60570719522525,ok,1,236.0,390.0,1.0,288.60570719522525,ok,1,313.0,293.0,1.0,285.8577943692712,ok,1,236.0,390.0,1.0,288.60570719522525,ok,1,236.0,390.0,1.0,288.60570719522525,ok
